Location,Deploy Date,Label,Time,Absorbance,Phosphorus
Stoney Run,6/14/21,High1,5,0.597,92.72561
Stoney Run,6/14/21,High 1,10,0.567,88.07149
Stoney Run,6/14/21,High 1,20,0.527,81.86599
Stoney Run,6/14/21,High 1,40,0.45,69.92041
Stoney Run,6/14/21,High 1,60,0.374,58.84465
Stoney Run,6/14/21,High 2,5,0.558,86.67525
Stoney Run,6/14/21,High 2,10,0.515,80.00434
Stoney Run,6/14/21,High 2,20,0.473,73.48857
Stoney Run,6/14/21,High 2,40,0.32,50.41374
Stoney Run,6/14/21,High 2,60,0.269,42.45121
Stoney Run,6/14/21,High 3,5,0.697,108.2393
Stoney Run,6/14/21,High 3,10,0.645,100.1722
Stoney Run,6/14/21,High 3,20,0.61,94.74239
Stoney Run,6/14/21,High 3,40,0.492,77.26776
Stoney Run,6/14/21,High 3,60,0.398,62.59173
Stoney Run,6/14/21,Medium 1,5,0.631,98.00028
Stoney Run,6/14/21,Medium 1,10,0.606,94.12184
Stoney Run,6/14/21,Medium 1,20,0.557,86.52011
Stoney Run,6/14/21,Medium 1,40,0.476,73.95399
Stoney Run,6/14/21,Medium 1,60,0.421,65.42143
Stoney Run,6/14/21,Medium 2,5,0.702,109.015
Stoney Run,6/14/21,Medium 2,10,0.65,100.9479
Stoney Run,6/14/21,Medium 2,20,0.596,92.57047
Stoney Run,6/14/21,Medium 2,40,0.522,81.09031
Stoney Run,6/14/21,Medium 2,60,0.49,76.12591
Stoney Run,6/14/21,Medium 3,5,0.655,101.7236
Stoney Run,6/14/21,Medium 3,10,0.646,100.3273
Stoney Run,6/14/21,Medium 3,20,0.568,88.22662
Stoney Run,6/14/21,Medium 3,40,0.507,78.76324
Stoney Run,6/14/21,Medium 3,60,0.457,71.00638
Stoney Run,6/14/21,Low 1,5,0.644,100.0171
Stoney Run,6/14/21,Low 1,10,0.606,94.12184
Stoney Run,6/14/21,Low 1,20,0.553,85.89956
Stoney Run,6/14/21,Low 1,40,0.47,73.02316
Stoney Run,6/14/21,Low 1,60,0.432,67.12794
Stoney Run,6/14/21,Low 2,5,0.749,116.3065
Stoney Run,6/14/21,Low 2,10,0.697,108.2393
Stoney Run,6/14/21,Low  2,20,0.659,102.3441
Stoney Run,6/14/21,Low 2,40,0.661,102.6544
Stoney Run,6/14/21,Low 2,60,0.585,90.86396
Stoney Run,6/14/21,Low 3,5,0.639,99.24138
Stoney Run,6/14/21,Low 3,10,0.613,95.20781
Stoney Run,6/14/21,Low  3,20,0.593,92.10506
Stoney Run,6/14/21,Low 3,40,0.495,76.9016
Stoney Run,6/14/21,Low 3,60,0.487,75.6605
Stoney Run,6/14/21,Control 1,5,0.629,97.69
Stoney Run,6/14/21,Control 1,10,0.621,96.44891
Stoney Run,6/14/21,Control 1,20,0.58,90.08827
Stoney Run,6/14/21,Control 1,40,0.54,83.88278
Stoney Run,6/14/21,Control 1,60,0.511,79.38379
Stoney Run,6/14/21,Control 2,5,0.594,92.2602
Stoney Run,6/14/21,Control 2,10,0.574,89.15745
Stoney Run,6/14/21,Control 2,20,0.547,84.96874
Stoney Run,6/14/21,Control 2,40,0.507,78.76324
Stoney Run,6/14/21,Control 2,60,0.492,76.43618
Stoney Run,6/14/21,Control 3,5,0.577,89.62286
Stoney Run,6/14/21,Control 3,10,0.559,86.83039
Stoney Run,6/14/21,Control 3,20,0.546,84.8136
Stoney Run,6/14/21,Control 3,40,0.503,78.1427
Stoney Run,6/14/21,Control 3,60,0.482,74.88481
Stoney Run,6/30/21,High1,5,0.785,125.2145
Stoney Run,6/30/21,High 1,10,0.703,111.9369
Stoney Run,6/30/21,High 1,20,0.658,104.6504
Stoney Run,6/30/21,High 1,40,0.538,85.21973
Stoney Run,6/30/21,High 1,60,0.467,73.72324
Stoney Run,6/30/21,High 2,5,0.667,106.1077
Stoney Run,6/30/21,High 2,10,0.705,112.2608
Stoney Run,6/30/21,High 2,20,0.658,104.6504
Stoney Run,6/30/21,High 2,40,0.544,86.19126
Stoney Run,6/30/21,High 2,60,0.44,69.35134
Stoney Run,6/30/21,High 3,5,0.688,109.5081
Stoney Run,6/30/21,High 3,10,0.649,103.1931
Stoney Run,6/30/21,High 3,20,0.592,93.96354
Stoney Run,6/30/21,High 3,40,0.501,79.2286
Stoney Run,6/30/21,High 3,60,0.434,68.37981
Stoney Run,6/30/21,Medium 1,5,0.752,119.8711
Stoney Run,6/30/21,Medium 1,10,0.714,113.7181
Stoney Run,6/30/21,Medium 1,20,0.654,104.0027
Stoney Run,6/30/21,Medium 1,40,0.529,83.76243
Stoney Run,6/30/21,Medium 1,60,0.485,76.63784
Stoney Run,6/30/21,Medium 2,5,0.711,113.2323
Stoney Run,6/30/21,Medium 2,10,0.694,110.4796
Stoney Run,6/30/21,Medium 2,20,0.673,107.0792
Stoney Run,6/30/21,Medium 2,40,0.617,98.01159
Stoney Run,6/30/21,Medium 2,60,0.592,93.96354
Stoney Run,6/30/21,Medium 3,5,0.648,103.0312
Stoney Run,6/30/21,Medium 3,10,0.622,98.82121
Stoney Run,6/30/21,Medium 3,20,0.558,88.45818
Stoney Run,6/30/21,Medium 3,40,0.52,82.30513
Stoney Run,6/30/21,Medium 3,60,0.478,75.50439
Stoney Run,6/30/21,Low 1,5,0.764,121.8142
Stoney Run,6/30/21,Low 1,10,0.743,118.4138
Stoney Run,6/30/21,Low 1,20,0.681,108.3746
Stoney Run,6/30/21,Low 1,40,0.608,96.55429
Stoney Run,6/30/21,Low 1,60,0.547,86.67703
Stoney Run,6/30/21,Low 2,5,0.728,115.985
Stoney Run,6/30/21,Low 2,10,0.671,106.7554
Stoney Run,6/30/21,Low  2,20,0.653,103.8408
Stoney Run,6/30/21,Low 2,40,0.584,92.66816
Stoney Run,6/30/21,Low 2,60,0.537,85.05781
Stoney Run,6/30/21,Low 3,5,0.795,126.8338
Stoney Run,6/30/21,Low 3,10,0.739,117.7661
Stoney Run,6/30/21,Low  3,20,0.687,109.3462
Stoney Run,6/30/21,Low 3,40,0.602,95.58276
Stoney Run,6/30/21,Low 3,60,0.566,89.75355
Stoney Run,6/30/21,Control 1,5,0.699,111.2892
Stoney Run,6/30/21,Control 1,10,0.716,114.0419
Stoney Run,6/30/21,Control 1,20,0.688,109.5081
Stoney Run,6/30/21,Control 1,40,0.636,101.0881
Stoney Run,6/30/21,Control 1,60,0.586,92.992
Stoney Run,6/30/21,Control 2,5,0.765,121.9761
Stoney Run,6/30/21,Control 2,10,0.771,122.9476
Stoney Run,6/30/21,Control 2,20,0.727,115.8231
Stoney Run,6/30/21,Control 2,40,0.692,110.1558
Stoney Run,6/30/21,Control 2,60,0.669,106.4316
Stoney Run,6/30/21,Control 3,5,0.909,145.2929
Stoney Run,6/30/21,Control 3,10,0.939,150.1506
Stoney Run,6/30/21,Control 3,20,0.842,134.4441
Stoney Run,6/30/21,Control 3,40,0.84,134.1203
Stoney Run,6/30/21,Control 3,60,0.753,120.033
Conley Run,6/15/21,High 1,5,0.614,96.31538
Conley Run,6/15/21,High 1,10,0.603,94.59797
Conley Run,6/15/21,High 1,20,0.536,84.13739
Conley Run,6/15/21,High 1,40,0.462,72.58392
Conley Run,6/15/21,High 1,60,0.4,62.90398
Conley Run,6/15/21,High 2,5,0.633,99.28181
Conley Run,6/15/21,High 2,10,0.734,115.0507
Conley Run,6/15/21,High 2,20,0.69,108.1811
Conley Run,6/15/21,High 2,40,0.618,96.93989
Conley Run,6/15/21,High 2,60,0.419,65.87041
Conley Run,6/15/21,High 3,5,0.633,99.28181
Conley Run,6/15/21,High 3,10,0.591,92.72443
Conley Run,6/15/21,High 3,20,0.563,88.35285
Conley Run,6/15/21,High 3,40,0.479,75.2381
Conley Run,6/15/21,High 3,60,0.632,99.12568
Conley Run,6/15/21,Medium 1,5,0.816,127.8532
Conley Run,6/15/21,Medium 1,10,0.75,117.5488
Conley Run,6/15/21,Medium 1,20,0.734,115.0507
Conley Run,6/15/21,Medium 1,40,0.641,100.5308
Conley Run,6/15/21,Medium 1,60,0.584,91.63154
Conley Run,6/15/21,Medium 2,5,0.699,109.5863
Conley Run,6/15/21,Medium 2,10,0.757,118.6417
Conley Run,6/15/21,Medium 2,20,0.611,95.84699
Conley Run,6/15/21,Medium 2,40,0.516,81.01483
Conley Run,6/15/21,Medium 2,60,0.445,69.92974
Conley Run,6/15/21,Medium 3,5,0.657,103.0289
Conley Run,6/15/21,Medium 3,10,0.607,95.22248
Conley Run,6/15/21,Medium 3,20,0.543,85.23029
Conley Run,6/15/21,Medium 3,40,0.496,77.89227
Conley Run,6/15/21,Medium 3,60,0.434,68.21233
Conley Run,6/15/21,Low 1,5,0.815,127.6971
Conley Run,6/15/21,Low 1,10,0.844,132.2248
Conley Run,6/15/21,Low  1,20,0.736,115.363
Conley Run,6/15/21,Low 1,40,0.669,104.9024
Conley Run,6/15/21,Low 1,60,0.587,92.09992
Conley Run,6/15/21,Low 2,5,0.951,148.9305
Conley Run,6/15/21,Low 2,10,0.845,132.381
Conley Run,6/15/21,Low  2,20,0.644,100.9992
Conley Run,6/15/21,Low 2,40,0.739,115.8314
Conley Run,6/15/21,Low 2,60,0.672,105.3708
Conley Run,6/15/21,Low 3,5,0.69,108.1811
Conley Run,6/15/21,Low 3,10,0.639,100.2186
Conley Run,6/15/21,Low  3,20,0.594,93.19282
Conley Run,6/15/21,Low 3,40,0.492,77.26776
Conley Run,6/15/21,Low 3,60,0.45,70.71038
Conley Run,6/15/21,Control 1,5,0.674,105.6831
Conley Run,6/15/21,Control 1,10,0.652,102.2482
Conley Run,6/15/21,Control 1,20,0.613,96.15925
Conley Run,6/15/21,Control 1,40,0.57,89.44575
Conley Run,6/15/21,Control 1,60,0.533,83.66901
Conley Run,6/15/21,Control 2,5,0.632,99.12568
Conley Run,6/15/21,Control 2,10,0.618,96.93989
Conley Run,6/15/21,Control 2,20,0.569,89.28962
Conley Run,6/15/21,Control 2,40,0.506,79.45355
Conley Run,6/15/21,Control 2,60,0.466,73.20843
Conley Run,6/15/21,Control 3,5,0.605,94.91023
Conley Run,6/15/21,Control 3,10,0.556,87.25995
Conley Run,6/15/21,Control 3,20,0.508,79.76581
Conley Run,6/15/21,Control 3,40,0.46,72.27166
Conley Run,6/15/21,Control 3,60,0.428,67.27557
Conley Run,6/29/21,High1,5,0.81,127.7505
Conley Run,6/29/21,High 1,10,0.798,125.8301
Conley Run,6/29/21,High 1,20,0.721,113.508
Conley Run,6/29/21,High 1,40,0.628,98.62536
Conley Run,6/29/21,High 1,60,0.538,84.22282
Conley Run,6/29/21,High 2,5,0.847,133.6715
Conley Run,6/29/21,High 2,10,0.863,136.232
Conley Run,6/29/21,High 2,20,0.732,115.2683
Conley Run,6/29/21,High 2,40,0.607,95.26477
Conley Run,6/29/21,High 2,60,0.539,84.38285
Conley Run,6/29/21,High 3,5,1.051,166.3173
Conley Run,6/29/21,High 3,10,0.897,141.6729
Conley Run,6/29/21,High 3,20,0.813,128.2306
Conley Run,6/29/21,High 3,40,0.684,107.5869
Conley Run,6/29/21,High 3,60,0.594,93.1844
Conley Run,6/29/21,Medium 1,5,0.85,134.1516
Conley Run,6/29/21,Medium 1,10,0.83,130.951
Conley Run,6/29/21,Medium 1,20,0.777,122.4696
Conley Run,6/29/21,Medium 1,40,0.641,100.7057
Conley Run,6/29/21,Medium 1,60,0.576,90.30389
Conley Run,6/29/21,Medium 2,5,0.935,147.754
Conley Run,6/29/21,Medium 2,10,0.891,140.7128
Conley Run,6/29/21,Medium 2,20,0.81,127.7505
Conley Run,6/29/21,Medium 2,40,0.78,122.9496
Conley Run,6/29/21,Medium 2,60,0.699,109.9874
Conley Run,6/29/21,Medium 3,5,0.817,128.8707
Conley Run,6/29/21,Medium 3,10,0.773,121.8294
Conley Run,6/29/21,Medium 3,20,0.717,112.8679
Conley Run,6/29/21,Medium 3,40,0.619,97.1851
Conley Run,6/29/21,Medium 3,60,0.557,87.26336
Conley Run,6/29/21,Low 1,5,0.758,119.429
Conley Run,6/29/21,Low 1,10,0.71,111.7477
Conley Run,6/29/21,Low 1,20,0.691,108.7071
Conley Run,6/29/21,Low 1,40,0.59,92.54429
Conley Run,6/29/21,Low 1,60,0.533,83.42268
Conley Run,6/29/21,Low 2,5,0.756,119.109
Conley Run,6/29/21,Low 2,10,0.706,111.1076
Conley Run,6/29/21,Low  2,20,0.678,106.6268
Conley Run,6/29/21,Low 2,40,0.529,82.78257
Conley Run,6/29/21,Low 2,60,0.554,86.78327
Conley Run,6/29/21,Low 3,5,0.822,129.6708
Conley Run,6/29/21,Low 3,10,0.805,126.9503
Conley Run,6/29/21,Low  3,20,0.742,116.8686
Conley Run,6/29/21,Low 3,40,0.592,92.86434
Conley Run,6/29/21,Low 3,60,0.57,89.34372
Conley Run,6/29/21,Control 1,5,0.821,129.5108
Conley Run,6/29/21,Control 1,10,0.748,117.8287
Conley Run,6/29/21,Control 1,20,0.663,104.2263
Conley Run,6/29/21,Control 1,40,0.608,95.42479
Conley Run,6/29/21,Control 1,60,0.559,87.58341
Conley Run,6/29/21,Control 2,5,0.886,139.9126
Conley Run,6/29/21,Control 2,10,0.805,126.9503
Conley Run,6/29/21,Control 2,20,0.751,118.3088
Conley Run,6/29/21,Control 2,40,0.674,105.9867
Conley Run,6/29/21,Control 2,60,0.645,101.3458
Conley Run,6/29/21,Control 3,5,0.659,103.5862
Conley Run,6/29/21,Control 3,10,0.644,101.1858
Conley Run,6/29/21,Control 3,20,0.604,94.78468
Conley Run,6/29/21,Control 3,40,0.548,85.8231
Conley Run,6/29/21,Control 3,60,0.518,81.02226